"Name","Category","Location","Phone Number"
"Манастир Св. Харалампие","place_of_worship","",""
"Св. Атанасиј","place_of_worship","",""
"Св. Василиј Велики","place_of_worship","",""
"Св. Никола","place_of_worship","","Dabnishte"
"Saint Varvara","place_of_worship","","Ohrid"
"Св. Троица","place_of_worship","","Dolno Lisiche"
"Св. Троица","place_of_worship","","Dolno Lisiche"
"Св. Спас","place_of_worship","","Noshpal"
"Св. Атанасиј","place_of_worship","","Nikodin"
"Рождество на Пресвета Богородица","place_of_worship","","Toplica"
"Св. Троица","place_of_worship","","Toplica"
"Св. Георгиј","place_of_worship","","Alinci"
"Св. Димитриј Солунски","place_of_worship","","Melnica"
"Св. Никола","place_of_worship","","Shtavica"
"Св. Георгиј","place_of_worship","","Beshishte"
"Св. Петка","place_of_worship","","Beshishte"
"Св. Димитриј Солунски","place_of_worship","","Trojaci"
"Св. Георгиј","place_of_worship","","Trojaci"
"Св. Недела","place_of_worship","",""
"Св. Архангел Михаил","place_of_worship","","Vrpsko"
"Св. Димитриј Солунски","place_of_worship","","Gugjakovo"
"Св. Архангел Михаил","place_of_worship","","Bitola"
"Св. Петар и Павле","place_of_worship","","Vitolishte"
"Св. Петка","place_of_worship","","Vitolishte"
"Св. Димитириј Солунски","place_of_worship","","Trojaci"
"Св. Спас","place_of_worship","","Topolchani"
"Св. Никола","place_of_worship","","Toplica"
"Св. Георгиј","place_of_worship","","Dunje"
"Св. Петка","place_of_worship","","Dunje"
"Св. Илија","place_of_worship","","Kalen"
"Св. Димитриј Солунски","place_of_worship","","Podmol"
"Св. Спас","place_of_worship","","Melnica"
"Св. Димитриј Солунски","place_of_worship","","Shtavica"
"Св. Атанасиј","place_of_worship","","Prisad"
"Св. Атанасиј","place_of_worship","","Toplica"
"Успение на Пресвета Богородица","place_of_worship","","Prilep"
"Св. Кирил и Методиј","place_of_worship","","Prilep"
"Св. Пантелејмон","place_of_worship","","Prilep"
"Воскресение Христово","place_of_worship","","Berovci"
"Св. Никола","place_of_worship","","Lopatica"
"Рождение на Пресвета Богородица","place_of_worship","","Shtavica"
"Св. Спас","place_of_worship","","Alinci"
"Св. Никола","place_of_worship","","Manastir"
"Св. Никола","place_of_worship","","Dren"
"Св. Илија","place_of_worship","","Dren"
"Св. Архангел Михаил","place_of_worship","","Dunje"
"Св. Параскева","place_of_worship","","Beshishte"
"Св. Јован","place_of_worship","","Bonche"
"Св. Јован Богослов","place_of_worship","","Bonche"
"Св. Димитриј Солунски","place_of_worship","","Veprchani"
"Св. Петка","place_of_worship","","Veprchani"
"Св. Илија","place_of_worship","","Melnica"
